I	Ia
0.1	2.73
0.2	2.74
0.3	2.74
0.4	2.74
0.5	2.74
0.6	2.74
0.7	2.74
0.8	2.74
0.9	2.73
1	2.72
1.1	2.69
1.2	2.66
1.3	2.61
1.4	2.49
1.5	2.25
1.6	1.89
1.7	1.39
1.8	1.34
1.9	1.21
2	1.16
2.1	1.12
2.2	1.01
2.3	0.94
2.4	0.89
2.5	0.84
2.6	0.79
2.7	0.75
2.8	0.73
2.9	0.69
3	0.66
