I	Ia
0.1	1.85
0.2	1.85
0.3	1.85
0.4	1.85
0.5	1.85
0.6	1.85
0.7	1.85
0.8	1.85
0.9	1.84
1	1.84
1.1	1.815
1.2	1.78
1.3	1.7
1.4	1.55
1.5	1.25
1.6	1.06
1.7	0.9
1.8	0.75
1.9	0.75
2	0.69
2.1	0.64
2.2	0.58
2.3	0.55
2.4	0.51
2.5	0.49
2.6	0.46
2.7	0.44
2.8	0.42
2.9	0.41
3	0.39
