,OA,OB,OC,OD,f,Hc,Bost,Bs,Hs
0,4.0 ± 0.5,40.0 ± 0.5,14.0 ± 0.5,22.0 ± 0.5,300,64 ± 8,1.48 ± 0.05,2.33 ± 0.05,643 ± 8
1,4.0 ± 0.5,40.0 ± 0.5,13.0 ± 0.5,21.0 ± 0.5,400,64 ± 8,1.38 ± 0.05,2.22 ± 0.05,643 ± 8
