,t1,t2,U1,U2,U3,mU,T,theta,Q,Q_theory,theta_theory,T_theory
0,2.08,0.92,8.52 ± 0.05,7.09 ± 0.05,6.25 ± 0.05,5,1.16 ± 0.05,0.184 ± 0.009,17.1 ± 0.9,8.5 ± 0.4,0.371 ± 0.016,1.24 ± 0.05
1,4.34,1.61,7.89 ± 0.05,5.88 ± 0.05,5.26 ± 0.05,5,2.73 ± 0.05,0.294 ± 0.011,10.7 ± 0.4,3.73 ± 0.15,0.84 ± 0.03,2.82 ± 0.10
2,5.57,1.96,7.50 ± 0.05,5.52 ± 0.05,5.04 ± 0.05,5,3.61 ± 0.05,0.307 ± 0.011,10.2 ± 0.4,2.87 ± 0.12,1.10 ± 0.04,3.67 ± 0.13
