z	U
0	84.6
0.5	84.3
1	84.2
1.5	84
2	83.7
2.5	83.2
3	82.7
3.5	81.8
4	86
4.5	78.6
5	77
5.5	73.7
6	69.8
6.5	65.2
7	58.7
