1	0	0.44454	-1116.1	0	0	0	0
2	0.05	0.44726	-1246.9	0	0	0	0
3	0.1	0.45946	-1316.2	0	0	0	0
4	0.15	0.48454	-1354.6	0	0	0	0
5	0.2	0.52114	-1277.7	0	0	0	0
6	0.25	0.56452	-1170	0	0	0	0
7	0.3	0.61332	-908.32	0	0	0	0
8	0.35	0.66483	-592.83	0	0	0	0
9	0.4	0.71702	-254.25	0	0	0	0
10	0.45	0.76718	45.853	0	0	0	0
11	0.5	0.81327	338.26	0	0	0	0
12	0.55	0.85055	522.94	0	0	0	0
13	0.6	0.8797	761.49	0	0	0	0
14	0.65	0.90478	884.61	0	0	0	0
15	0.7	0.91698	969.25	0	0	0	0
16	0.75	0.91698	1084.7	0	0	0	0
17	0.8	0.90952	1169.3	0	0	0	0
18	0.85	0.89732	1223.2	0	0	0	0
19	0.9	0.86953	1100.1	0	0	0	0
20	0.95	0.83293	984.64	0	0	0	0
21	1	0.79294	830.74	0	0	0	0
22	1.05	0.74481	599.89	0	0	0	0
23	1.1	0.68585	292.09	0	0	0	0
24	1.15	0.63636	-23.402	0	0	0	0
25	1.2	0.58011	-292.73	0	0	0	0
26	1.25	0.53605	-538.96	0	0	0	0
27	1.3	0.49741	-746.73	0	0	0	0
28	1.35	0.46895	-908.32	0	0	0	0
29	1.4	0.44658	-1046.8	0	0	0	0
30	1.45	0.4398	-1154.6	0	0	0	0
31	1.5	0.44929	-1262.3	0	0	0	0
32	1.55	0.46895	-1385.4	0	0	0	0
33	1.6	0.49877	-1370	0	0	0	0
34	1.65	0.5374	-1277.7	0	0	0	0
35	1.7	0.5835	-1054.5	0	0	0	0
36	1.75	0.63026	-792.9	0	0	0	0
37	1.8	0.68517	-477.41	0	0	0	0
38	1.85	0.74007	-154.22	0	0	0	0
39	1.9	0.78684	138.19	0	0	0	0
40	1.95	0.83022	392.13	0	0	0	0
41	2	0.86275	630.67	0	0	0	0
42	2.05	0.88851	792.27	0	0	0	0
43	2.1	0.90817	869.22	0	0	0	0
44	2.15	0.91562	1007.7	0	0	0	0
45	2.2	0.91562	1115.5	0	0	0	0
46	2.25	0.90478	1184.7	0	0	0	0
47	2.3	0.88783	1223.2	0	0	0	0
48	2.35	0.85598	1077	0	0	0	0
49	2.4	0.81598	984.64	0	0	0	0
50	2.45	0.77328	776.88	0	0	0	0
51	2.5	0.72584	476.77	0	0	0	0
52	2.55	0.67026	168.97	0	0	0	0
53	2.6	0.61264	-108.05	0	0	0	0
54	2.65	0.56045	-369.68	0	0	0	0
55	2.7	0.51843	-600.52	0	0	0	0
56	2.75	0.48589	-777.51	0	0	0	0
57	2.8	0.45878	-962.19	0	0	0	0
58	2.85	0.44251	-1123.8	0	0	0	0
59	2.9	0.44116	-1208.4	0	0	0	0
60	2.95	0.4581	-1308.5	0	0	0	0
61	3	0.47708	-1416.2	0	0	0	0
62	3.05	0.50961	-1339.2	0	0	0	0
63	3.1	0.55503	-1185.3	0	0	0	0
64	3.15	0.60247	-977.58	0	0	0	0
65	3.2	0.65195	-677.47	0	0	0	0
66	3.25	0.70415	-354.29	0	0	0	0
67	3.3	0.75566	-15.707	0	0	0	0
68	3.35	0.80514	284.4	0	0	0	0
69	3.4	0.84445	522.94	0	0	0	0
70	3.45	0.87699	692.23	0	0	0	0
71	3.5	0.89868	861.52	0	0	0	0
72	3.55	0.91562	969.25	0	0	0	0
73	3.6	0.92037	1069.3	0	0	0	0
74	3.65	0.91562	1153.9	0	0	0	0
75	3.7	0.90071	1223.2	0	0	0	0
76	3.75	0.8797	1184.7	0	0	0	0
77	3.8	0.84445	1069.3	0	0	0	0
78	3.85	0.80107	946.17	0	0	0	0
79	3.9	0.75566	723.01	0	0	0	0
80	3.95	0.7055	445.99	0	0	0	0
81	4	0.65738	130.5	0	0	0	0
82	4.05	0.59366	-161.91	0	0	0	0
83	4.1	0.54486	-415.85	0	0	0	0
84	4.15	0.50487	-631.3	0	0	0	0
85	4.2	0.47369	-792.9	0	0	0	0
86	4.25	0.45268	-931.41	0	0	0	0
87	4.3	0.44048	-1046.8	0	0	0	0
88	4.35	0.44658	-1223.8	0	0	0	0
89	4.4	0.46352	-1323.9	0	0	0	0
90	4.45	0.49199	-1362.3	0	0	0	0
91	4.5	0.52317	-1285.4	0	0	0	0
92	4.55	0.57265	-1100.7	0	0	0	0
93	4.6	0.62213	-839.07	0	0	0	0
94	4.65	0.67229	-554.35	0	0	0	0
95	4.7	0.72312	-238.86	0	0	0	0
96	4.75	0.77396	61.243	0	0	0	0
97	4.8	0.82005	369.04	0	0	0	0
98	4.85	0.85936	515.25	0	0	0	0
99	4.9	0.88444	746.1	0	0	0	0
100	4.95	0.90613	838.44	0	0	0	0
101	5	0.91766	969.25	0	0	0	0
102	5.05	0.91969	1115.5	0	0	0	0
103	5.1	0.91088	1177	0	0	0	0
104	5.15	0.89393	1230.9	0	0	0	0
105	5.2	0.86614	1169.3	0	0	0	0
106	5.25	0.82819	1015.4	0	0	0	0
107	5.3	0.78277	861.52	0	0	0	0
108	5.35	0.73261	630.67	0	0	0	0
109	5.4	0.68042	292.09	0	0	0	0
110	5.45	0.62891	-15.707	0	0	0	0
111	5.5	0.57604	-315.81	0	0	0	0
112	5.55	0.52588	-562.05	0	0	0	0
113	5.6	0.48928	-739.03	0	0	0	0
114	5.65	0.46352	-900.63	0	0	0	0
115	5.7	0.44793	-1085.3	0	0	0	0
116	5.75	0.44183	-1223.8	0	0	0	0
117	5.8	0.45064	-1254.6	0	0	0	0
